Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_
1438,,,,,,,,,,,,,,8737.7327,,8842.693,
1439,,,,,,,,,,,,,,,,,
1440,5324.838,527.6102,,1674.1601,2861.0803,,,,,,,,,,,,
1442,,,,,,,,,,,,,,,,,
1443,,,,,,320.0547,,427.1772,102.6694,125.3204,252.7572,192.6062,,353.8708,,503.6751,
1444,,,,,,217.4903,,,,144.7423,,,,345.849,241.8932,412.6802,
1445,,,,,,,417.0759,476.886,,,494.9835,416.6708,,514.6496,591.5492,829.5507,
1451,,,284.9785,,173.1958,,403.9916,,443.7419,,279.8828,314.2126,,,,352.575,
1452,,,,,,,7178.7314,7150.7183,,5857.7759,9211.19,8078.0442,1160.703,7324.2673,6981.7642,7917.084,927.7235
1453,206.4257,,,,105.4321,,,,,,,,,,,,
1455,1766.5513,134.1563,,,981.2612,,,,,,,,,,,,
1456,,,,,,,57.525,,,,,,,,,,
1457,,,,,,856.0433,1130.9621,1272.5058,,,,,,1202.0733,1133.0491,1204.7366,
1458,532.3474,,,147.9046,143.9028,,,,,,,,,,,,
1459,,,,,,,,286.9258,,,,,,635.8981,535.6646,,
1461,,,,,,100.2828,,149.5676,,,,,,,,,
1462,,,,,,,2316.5076,2315.6754,,1888.2929,2992.898,2623.312,,2370.5285,,2491.26,287.9336
1463,,,,,,,,,147.5456,,,,218.071,,,,
1465,,,,,,,,196.1452,,,,,,,147.4677,,
1466,,,,,,,,,,,,,,411.7462,360.2101,,
1467,,,,,,,619.1999,,203.0379,,,259.0378,,226.7128,234.2847,278.2731,157.7974
1468,1600.9019,,,,921.3654,,,,,,,,,,,,
1470,,,,,,461.1378,596.3596,481.1553,321.3996,,,,,,,,
1471,,,,,,703.6229,740.0887,538.1037,,,,,,,,,
1472,,,,,,583.9342,,,,,,,,,,,
1474,,,,,,,,,,,,,,,,,
1475,6037.8267,559.1629,,1793.706,3063.2703,3552.6849,3732.6295,3720.0346,258.797,,1552.6019,1085.3804,,4263.0516,4065.0714,4701.6978,
1476,,,281.8142,,,,,,,,,,,,,,
1477,771.671,,,,451.4343,,,,,,,,,,,,
1479,,,,,,2109.4988,2295.5374,2282.1407,,1899.9798,2980.7635,2568.6534,,,2250.8724,2590.9427,290.1889
1480,,,,,,,423.0224,346.3682,,,,,,,,,
1483,930.0578,,,,563.6658,,,,,,,,,,,,
1485,,,,,,,,,,,,,,288.0601,293.2233,,
1487,,,,,,,,416.559,,,,,,,,,
1488,,2527.1317,3947.2499,2302.8911,1111.8827,,,,1347.9831,,,,1191.68,821.1774,,982.8817,
1490,,,1991.7583,,,,,,,,,,,,,,
1491,,,,,,342.7666,423.1157,378.713,,,525.385,434.1585,,426.4898,,457.9449,
1502,,,,,,301.4262,437.3334,522.7419,,,,,,,,340.4851,
1503,,,,,,,,,,,,,,111.9792,,,
1507,,,,,,,,,,,,,,82.2253,,107.1759,
1508,,,,,,,,,,,739.8729,,,,,,
1509,,528.6706,707.4699,429.3762,,,,,,,,,,,,,
1510,36.8299,,,,,,,,,,,,,,,,
1512,,,,,,,,,194.9788,,,,,,,,
1513,,,,,,160.3859,,,,,,,,,,,
1516,,,,,,,,,,,,,,270.6699,,,
1517,,,,,,,,,649.4503,,,,965.0955,566.6271,,1638.9202,
1522,,,,,,,,,,,,,965.3362,,,,
1526,,,,,,,,,,,,,,,,247.384,
1529,,,,,,,,,,,,,890.6286,,,,
1530,,,,,,,360.0682,,,,,,,,349.3384,681.4166,
1531,,,,,,,,,,,,,,,117.0707,,
1533,,22.8046,,,,,,,,,,,,,,,
1535,129756.42,14124.505,1681.9321,43862.4133,71429.83,,,,,,,,,,,,
1541,145.1978,,,,123.7226,,,,,,,,,,,,
1542,,,,,,,,,265.4491,,,,,,,,
1543,,,,,,,,,424.9923,,1109.8625,,,,,,
1550,6980.475,,,2576.4215,3618.6982,,,,,,,,,,,,
1551,,,,,,518.4828,604.3621,510.6276,155.1067,,,,,508.2649,,490.3892,
1552,,,,,,,,,,201.4952,334.5928,256.1677,,,,,
1554,,,,,,189.1605,,,,,140.9239,,,299.4731,277.042,389.0195,
1555,,,,,,2202.0491,2334.2421,2770.8004,,,1702.2471,,,1812.612,2179.9119,2756.0383,
1560,84297.14,9090.762,1050.0825,28873.8157,46501.53,,,,,,,,,,,,
1567,,,,,,,,110.0606,,,166.6052,137.984,,,,,
1568,,394.8086,,,116.384,,,,,,,,,,,,
1571,,,,,,,411.8657,,,,,,,,287.9218,520.3692,
1573,674.0586,,,206.492,364.5316,,,,,,,,,,,,
1574,18088.4313,,,7254.0418,12490.2543,,,,,,,,,,,,
1577,,,,,,,139.8559,,,,,124.0891,,,,,
1579,,,,,,,,467.2286,,,,,,,,,
1580,,,,,,264.5484,,366.7574,,169.5705,439.7851,206.1821,,,298.6917,456.0939,
1581,255.2402,,,,,,,,,,,,,,,,
1583,14422.105,1456.4998,162.0806,4786.7682,7680.0835,,,,,,,,,,,,
1585,3726.8637,542.1219,,1417.6362,2477.2627,,,,,,,,,,,,
1587,16892.08,1375.1644,,4940.634,8202.18,,,,,,,,,,,,
1588,,,,,,,,,,,,,,63.2066,,,
1590,,,,,,889.0471,859.7281,1103.3036,,,,,,857.0569,895.5493,,
1591,,,,,,,,,,246.6462,423.6009,,,,,,
1593,,,,,,,234.4826,,,,,,,,,,
1594,,,,,,,203.0244,,,,,,,,,,
1595,,,,,,,,166.7712,,,,,,142.284,,,
1596,,,,,,172.3845,,,,,,,,,,,
1597,3002.1776,,,,1765.0191,,,,,,,,,,,,
1599,,,,,,561.1426,728.1405,657.4672,262.0029,,341.6245,,,664.2671,,655.3114,
1600,,,,,,,,644.9292,247.3217,,402.7731,404.9366,,,,,
1601,,,,,,,,643.7022,157.9947,,,525.1464,,719.2253,555.7929,806.9334,
1603,2567.1243,,,,1061.5452,,,,,,,,,,,,
1604,,,,,,411.9623,500.9675,629.2652,,,,,,570.432,567.6438,509.0347,
1605,,,,,,825.5329,777.8208,1207.4532,661.1615,,,716.6704,,1050.6599,1194.5134,1803.6245,
1606,,,,,,,,,,,,187.5411,,,,,
1607,,,,,,3705.1008,5612.4691,5478.6976,,,3335.8596,,,,4415.0417,5405.6102,
1616,,,,,,154.715,,,,,148.1336,,,,,230.3592,
1618,,,65.1802,,,,124.6882,117.4018,,,125.0022,,,,,,
1619,,,,,,,918.1181,,,,,,,733.3687,,892.7003,
1620,,369.8319,415.3893,,,,,,,,,,,,,,
1621,102997.945,20032.877,3166.1555,38345.4682,66186.305,,,6113.9295,,,,,,7911.8635,7599.2277,8793.6382,
1625,,,,,,268.7435,,,,,,,,,,158.3993,
1626,,,,,,,,,,,,350.3795,,,,,
1627,,,,,,,,,,,,,,,,258.3451,
1629,522.0369,,,,,,,,,,,,,,,,
1631,,,,,,,,,,256.1557,368.0699,,,,248.3772,,
1632,,,,,,325.6572,,,,,,,,,,363.4785,
1633,,,,,,582.8328,519.0827,,388.4501,,,308.1068,,646.8483,514.6761,860.3147,
1634,,,,,,,797.7775,,,959.5783,1497.3312,1225.7977,,956.1167,,1681.4716,
1635,,,,,,277.473,284.1142,337.8634,,,338.475,,,,,803.7418,
1636,,,,,,696.066,808.0604,437.1252,,,,,,,,,
1637,,,,,,430.3946,,387.9038,97.5524,,220.9148,,,328.0653,256.8104,,
1638,,,,,,294.9745,290.757,336.67,,,319.3407,214.2245,,,,,
1639,,,,,,,,825.7261,387.7901,,359.2668,,,,,497.7712,
1642,35444.6919,5403.4229,,11399.8224,22558.0859,,,,,,,,,,,,
1645,,,,,,,,1094.1426,,,,,,1590.3272,2087.7336,1837.6241,
1646,,,,,,4014.8985,6388.5385,5951.5512,,,1692.0365,,,1904.6131,2017.3002,2693.7905,
1647,,,,,,,,,,,,,,,73.8452,,
1648,,,,,51.0992,,,,,,,,,,,,
1649,,,,,,,,,,,,340.6477,,,,,
1650,,,,,67.8283,,,,,,,,,,,,
1654,,,,,,,,,,,,,,,,,
1655,5744.6533,692.6462,,1579.1053,3054.5688,,,,,,,,,,,,
1658,,,,,,,,,,,,,,185.5014,,,
1659,201.0255,,,,,,,,,,,,,,,,
1663,,,,,,,,,377.8892,,,,,300.5021,,440.0191,
1664,,,,,,,778.6784,1009.3698,440.0755,600.864,804.9642,587.1885,,1348.6382,1203.5852,1603.8552,189.7047
1665,,,,,,,,312.7338,123.533,334.9209,,,,,,404.2513,
1667,294.3534,,,,,,,,,,,,,,,,
1668,,,,,130.2378,,,,,,,,,,,,
1673,,,,,,,310.2097,,,,230.6609,,,,,,
1674,,,,,,222.24,,,,,,,,,,,
1675,,,,,,205.3146,,,,,,,,191.8514,,,
1679,,,103.1611,,,,,,,,,,,,,,
1681,,,,,,13271.9333,14728.9077,15258.361,8345.9452,13344.018,19411.24,17275.7683,,15688.0813,14582.701,16963.412,
1683,12129.2511,1771.0166,,3857.9528,7618.4041,,,,,,,,,,,,
1684,13775.487,1334.4237,137.9109,3132.1141,7407.179,,,,,,,,,,,,
1685,,,,,,1271.9707,2030.4924,,,,,,,600.5527,617.0709,,
1687,56344.12,5951.9014,670.4661,17642.4622,31900.066,,,,,,,,,,,,
1688,9384.689,,,,4301.949,,,,,,,,,,,,
1689,,,,,,,,310.5028,,595.953,893.8094,,,,528.4539,793.9548,
1694,1836.4991,236.0735,,499.1653,1045.8275,,,,,,,,,,,,
1695,,,,,,,,,,,,,,,,,
1696,,,,1760.7308,,,,,,,,,,,,,
1698,,,,,,,,,,,,,,,,,
1700,,,,,,,971.8114,494.0913,,,959.091,,,,905.8969,,
1706,,,,,,,202.2365,,,,,,,,,,
1707,,,,,,,284.8934,246.9732,,,,,,,,,
1711,8714.034,871.4456,,2615.5896,4778.613,,,,,,,,,,,,
1712,2058.2756,,,,893.496,,,,,,,,,,,,
1714,,436.3054,,,,,,,,,,,,,,,
1717,,161.0036,283.0637,,,,,,,,,,,,,,
1718,,,,,,2304.7287,2501.6939,2590.057,1414.3555,,3295.5229,2988.5849,,2652.9291,2514.8127,2863.5662,
1719,812.012,85.4252,,,415.1753,,,,,,,,,,,,
1721,,,,,,18081.7797,22826.0637,21645.0793,,6884.2193,15741.1957,9507.5273,,15619.0873,16239.484,18662.2303,
1724,451.1637,,,,251.7171,,,,,,,,,,,,
1725,988.6829,51.9508,,294.9461,528.8374,,,,,,,,,,,,
1732,,,,,,,,,,,,,,,,,
1734,,,,,,,,,,,991.7082,,,,849.0839,1260.1585,
1735,,,,,,,,,,,,,,,,,
1740,,,,,,,,,226.3699,,,,,,,,
1741,,,,,,257.5705,,,,,270.1224,,,,252.7862,,
1746,,,,,,,,,,,,,,,,,
1747,,,,,,,,,,,,,,,,,
1749,,,,,,504.9148,,854.606,,198.3716,400.0477,265.5453,,623.5406,586.1046,774.6653,
1752,,,,,,,,,,,493.106,,,,,,
1753,,,,,,5910.6721,7582.922,7055.6696,,2284.0918,5206.9865,3094.485,,5098.241,5382.8166,6199.442,
1754,,,,,,,,,,,,,,109.0744,,,
1758,,,,,,,,1407.1128,,,,,,,,,
1761,,,,,,,,,,375.8523,,,,,,,
1763,,,,,113.7535,,,,,,,,,,,,
1764,,449.1263,479.9025,,,,,,,,,,,,,,
1765,,,,,,,,,,,,,,,,,
1766,,,,,,,,,,2292.5357,1539.1672,,37599.7215,,1565.2271,5090.2497,3700.4065
1768,3141.193,,,,,,,,,,,,,,254.1792,,
1769,,,,,,611.0583,,,,,,,,,752.2929,,
1770,,,,,,,,,,,,,,469.7068,,,
1771,,,,,,2220.6793,,,,3138.3905,4648.1635,2178.2216,,4692.7955,3021.4661,4583.3191,
1773,,,,,,,,,,,333.6786,,,,305.8379,471.8025,
1774,,,,,,266.4894,417.3517,,,,,,,,,,
1775,,,,,,330.8888,,,,,,,,,,,
1779,,,,,74.5981,,,,,,,,,,,,
1780,55.2527,77.8965,,,,,,,,,,,,,,,
1781,,,,,,,,,,271.7188,,,5131.999,,,724.2789,
1785,,,,,,,,,,,,,,,67.4326,84.0124,
1788,1806.3748,,,,,,,,,,,,,,,,
1790,,,,,,,,,,,228.4452,,,,,,
1793,,,,,,353.2297,483.8989,301.5843,,,,281.8335,,340.68,332.5947,389.4198,
1794,,,,,,,918.1163,983.2006,,,929.8192,744.7697,,,,,
1795,,,,,,,1089.3597,529.3399,256.141,,409.4342,506.3165,,,561.3107,,
1796,,,,,,,,,,,231.5227,,,,,,
1798,,,,,,,,,,,,,,164.8991,,,
1800,,,,,,,,,,,,,,,,431.9723,
1801,,,,,,,327.106,319.1375,,,,,,,,,
1802,,,,,,511.1276,,904.2926,293.2374,,,343.5852,,908.0315,581.5707,1429.9334,
1803,,,,,,,,,,,,,,166.935,,,
1804,,,,,84.6244,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,342.7931,
1814,172.5241,,,,,,,,,,,,,,,,
1816,,,,,,381.4728,293.3022,379.5922,183.4724,,209.9538,,,275.7861,,,
1817,,,,,,,435.3422,,,,,,,,,,
1820,,,,,,,162.1404,,,,,142.3477,,,,,
1822,,,,,226.67,,,,,,,,,,,,
1823,,,,,,,982.7598,,,,470.4282,,,,,,
1824,,,,,,1809.4898,1373.2954,1120.0741,571.2632,591.3587,977.4534,760.7675,,967.2322,853.1691,1095.8982,
1825,,,,,,,,785.1174,,,999.7728,784.0031,,,883.034,,239.969
1826,,,,,,633.9276,867.8532,698.0995,353.5868,272.2229,,436.5727,,542.3702,410.565,739.6198,238.7438
1827,,,,,,172.6933,,177.0525,,,,,,,,,
1828,320.1247,,,,,,,,,,,,,,,,
1830,,,,,,,486.1847,,,,796.4768,580.7046,,756.8639,704.346,1107.8349,
1831,,,,,,4853.3188,5023.0358,6026.8156,945.7875,,2606.9303,1827.5594,,5211.6481,5016.6211,6270.1486,256.9461
1832,,,,,,9599.1717,10195.108,11918.2473,1917.1233,3698.3028,7091.9852,4411.2842,,9553.252,9278.336,11587.0377,376.4025
1833,,,,,,,,,,,,,,894.1945,,,
1836,,,,,,,,159.1582,,,,,,,241.9035,516.9982,
1842,,,,,,,,658.5672,,,479.6517,,,,,308.9158,
1843,672.296,,,,,,,,,,,,,709.8817,662.3536,,
1844,,,,,,,1383.2091,1173.9372,,,,,,,,,
1846,,,,,,,,147.5529,,,,145.1476,,,,237.966,
1852,,,,,136.4111,,,,,,,,,,,,
1853,,87.1057,,,,2042.4729,2381.3473,2900.0649,700.5484,873.2162,1384.1633,1026.5036,,3161.1944,3331.1333,3885.8371,534.908
1855,,,117.0432,,,,,,,,,,,,,,
1858,,,,,,,258.2254,,,,,,,,,,
1859,1280.9734,,,,659.6671,,,,,,,,,,,,
1860,8333.606,1069.52,128.205,2397.128,4879.5415,,,,,,,,,,,,
1862,,,,,,,,,,,278.0784,,,,,,
1866,,,,,,344.9158,297.9575,311.8774,,228.7795,383.054,353.7191,,,,,
1868,,,,,,349.8277,,,,,,,,,217.527,401.1692,
1869,,,,,,,,,,,,213.0153,,,,,
1870,,,,,164.7339,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,
1873,,,,,,920.7537,,953.9211,399.8222,345.0879,,513.7484,,1710.9856,1036.588,1009.9536,
1875,,16.1994,,,,,,,,,,,,,,288.9494,
1876,,,,,,,262.1995,,,,,,,,,80.636,
1878,,,,,,262.898,,3367.7241,,,234.6044,,,,412.6596,619.5253,
1879,,,,,,,,312.2266,,,,,,,,227.8818,
1880,,,,,,,,432.9238,,,,164.1257,,233.341,,285.4036,
1881,,,,,,,,284.2085,,,,,,,,141.1625,
1883,,,,,,,,422.0016,,,,,,,,,
1884,,,,,,,693.2478,312.4791,,,,,,,,,
1886,,,,,,,1133.9585,999.2816,,,,,,,,,
1888,,,,,,,,,,,,,,,,,
1890,,,,,,1410.5647,1560.654,2052.023,468.6797,505.5039,913.9998,725.8199,,2087.3963,1964.9449,2779.8067,361.5051
1891,,,,,,,,147.5021,,,,,,,,,
1895,,,,,,169.1151,,,,,,,,248.2726,,,
1896,,,,,,173.6895,,,139.6026,,,341.8559,,,,310.2579,
1898,238.0531,,,,,,,,,,,,,,,,
1899,,,,,164.0632,,,,,,,,,,,,
1900,53863.305,7358.532,965.5189,18596.9245,33168.71,,,,,,,,,,,,
1902,,,,,,403.5432,,,161.392,235.6588,,,,,,,
1903,,,,,,460.3192,845.3865,433.4578,,,,,,,395.8354,449.3128,
1904,,,,,,,,,,,,,,,,190.2974,
1906,713.2204,,,195.5506,,,,,,,,,,,,,
1907,,,,,,,,752.0164,,,939.6854,,,804.8743,723.1121,1607.7645,
1909,,,,,,1055.9723,1098.9954,,580.8474,529.7081,,,,,,,
1910,,,,,,,290.9321,,168.7948,,,,,,,,
1911,,,,,,344.5822,461.878,,,,,,,,,,
1912,,,,,,529.5421,,,,,,,,,,,
1913,,,,,,302.2762,,,,,,,,,,,
1915,,,,,156.9847,,,,,,,,,,,,
1916,51309.883,4879.5566,,15046.6922,26354.754,1198.997,1564.5908,1512.665,,,,,,,,,
1918,97345.54,15958.238,1722.5276,35873.6003,57327.707,,,,,,,,,,,,
1919,7574.9053,1023.0962,,2611.4554,4693.8184,,,,,,,,,,,,
1921,,,,,,,,,,243.5536,,,,,,,
1922,,,,,,,,73.3052,,,,77.2124,,,,199.928,
1923,261.2856,,,,,,,,,,,,,,,,
1925,,29.5473,,,,,,,,,,,,,,,
1926,,,,,,,,242.7882,,,,,,,,,
1927,,146.6596,178.1681,,,,,,,,,,,,,,
1928,,,,,,,,,,,169.4048,,,,,,
1929,,,,,,252.6642,237.6628,,74.8328,87.8583,159.9684,,,276.7393,338.3822,433.9022,
1930,,,,,,128.1598,,,,,,,,,,,
1932,225.4203,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,247.458,,,,286.1842,,
1937,,,,,,333.4782,535.6901,453.9103,,,406.1485,236.4179,,,,,
1939,2931.3862,415.3797,,994.9043,1755.1823,,,,,,,,,,,,
1944,168.0604,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,193.4337,
1946,,,,,,,1351.1643,595.5617,,,1125.9175,,,,1099.1261,815.2231,
1950,,,,,,,,,,,,,,,,1170.6609,
1951,,,,,,7759.4396,8134.86,8551.495,10409.301,7993.7218,10512.259,9534.7937,,8567.4206,7956.7762,9480.8083,
1952,,,,,,3524.8871,3058.1648,3566.8706,,1466.7381,2579.2414,1791.2401,,8028.4332,7126.523,6742.4196,
1953,2924.8967,250.5479,,869.0074,1568.9991,,,,,,,,,,,,
1956,338.6233,392.461,,,,,,,,,,,,,,,
1957,,,,,,1564.477,2432.2672,2296.6126,,,,,,,,,
1958,322.3439,,,68.6677,,,,,,,,,,,,,
1962,,,,,,,,124.2961,412.5992,538.3771,268.945,85.4748,90.9086,746.0286,234.1231,333.3573,356.4511
1963,,,,,,972.6682,1077.9658,1326.5291,,,,,,1106.7737,1093.6801,1403.5178,
1964,,,,,,,,,,,274.7537,210.3963,,,,,
1967,,,,,,,,573.7999,,,,,,,,,
1968,,,,,,,,278.6613,,,,,,,,,
1969,,,,,,,,,,,,,,241.1448,,,
1970,,,,,,,,,,434.3035,665.9469,498.2036,,,,,
1975,,,,152.7089,,,,,,,,,,,,,
1976,,,,,,507.9573,591.92,497.8111,,298.912,,424.7927,,,531.8616,,
1977,,,,,,377.5236,,288.3775,,144.4864,327.2466,,,485.4679,,,
1978,,,,,,,,,,134.6057,,208.1439,,,,257.4739,
1979,,,,,,,,,,,,413.905,,,,,
1980,350.0211,,,,,,,,,,,,,,,,
1986,,,218.7543,,,,,,,,,,,,,,
1988,,,,,,,335.5877,,,277.7284,362.7807,,,309.6242,,346.2126,
1989,,,,,,2230.1944,1962.1497,2248.0308,,958.0426,1646.7638,1166.442,,5116.6457,4523.1243,4310.5226,
1993,,,,,,,,,,,,,,,,,
1994,209.5733,,,,120.1962,,,,,,,,,,,,
1996,,,,,,,,,,,1326.8346,,,384.7679,,,
2004,,,,,,,733.2788,804.2439,,,,,,744.6916,,901.7423,
2005,,,,,,,,396.2204,,,468.5612,401.234,,,,,
2006,10466.311,2104.4553,,7149.5039,7810.9614,,,,,,,,,,,,
2009,319.9561,,,,251.4491,,,,,,,,,,,,
2010,,1325.8217,1654.6599,,,,,,,,,,,,,,
2011,,444.7245,513.922,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,221.7433,348.4019,
2016,,,,,,768.666,990.1647,2293.37,10444.131,602.3496,866.7269,990.2612,,1273.4789,1089.0478,1592.3808,
2017,,,,,,,,,,,,,,,,,
2019,,,,,,2344.0973,2455.8738,3613.7302,,,,,,3835.2201,3933.3221,4260.141,
2024,,,,,,,,359.0797,,,467.1321,433.7206,,,,,
2025,,,,,,346.853,,349.8142,,,,,,799.3366,701.7265,655.3135,
2030,1794.5244,,55.3444,1212.9789,1351.8453,,,,,,,,,,,,
2032,,,,,,,,,,,,,62.0732,,,,
2033,,,,,,,,,,,,,,,,116.939,
2034,,,,,,,57.1411,48.8,,,,,,79.6973,,,
2035,256491.36,31322.406,4076.194,87615.305,142786.83,,,,,,,,,,,,
2036,,,,,,379.1355,400.0095,616.261,,106.6721,,,,623.4432,657.9394,706.5426,
2037,,,,,,,1704.9145,1365.3722,,,,,,,,,
2043,,,,,,,,,,303.1511,,,,,,,
2044,,,,,,370.9427,,487.6549,,,424.2581,321.788,,236.1912,,,
2046,,,,,,,342.9748,,,286.7489,302.2119,,,,,,
2047,,,,,,,,,,,,,,,,299.0349,
2049,,,,,,,,656.6621,,,,,,,,,534.0929
2050,,,,,,612.0155,687.9837,824.8268,,,473.7152,,,859.3372,744.3691,1027.8017,
2054,47077.188,5754.432,749.8231,16401.2267,26823.979,,,,,,,,,,,,
2055,,,,,,321.7226,,,,148.6027,,,,,,,
2056,,,,,,413.2775,482.6459,,,,321.8267,332.3725,,392.0481,315.0217,,
2057,,,,,,140.836,,,,,,,,138.8937,,,
2059,273.4399,,,,,,,,,,,,,,,,
2060,,810.775,1237.4794,,159.2638,,,,,,,,,,,,
2063,,,,,,1197.7816,1151.216,,,796.887,,,,1828.7724,,2402.3339,
2065,,,,,,,,,,,189.6041,,,245.872,238.9867,299.2964,
2068,,309.7213,677.0124,,79.6018,,,,,,,,,,,,
2069,,,,,,,,,,,210.0892,,,,,,
2070,569.5826,,,,386.858,,,,,,,,,,,,
2072,,,,,,754.1041,,1173.0505,627.1242,472.3855,555.9055,685.5349,,615.8687,475.4836,1227.522,473.3543
2073,,,,,,,969.4738,,214.6842,337.8898,,742.3513,,803.6132,639.231,1066.2121,
2075,252.759,,,,,,,,,,,,,,,,
2076,107.3284,,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,,,
2078,,,,,,711.8766,903.0184,736.153,202.4646,410.0267,1135.4828,600.0175,,884.736,889.416,710.0735,134.9326
2079,,,,,,,790.388,849.0485,244.4256,332.0726,,738.5588,,1050.8324,1157.2193,1504.6169,
2081,,,,,,,,,,,,,,,242.4259,,
2082,,,,,,,,205.0256,,,,,,,,,
2083,,,,,,,,,,,,,,,,234.8969,
2088,,,,,,,,,,,,,,,293.3868,,
2090,,,,,,179.2945,180.3168,156.5813,,,,134.9401,,138.6389,,,
2091,,,,,,434.355,614.5857,506.1051,,,433.9201,246.8218,,381.2482,,,
2092,101865.91,14316.53,1887.2014,37744.0708,55944.52,3385.6732,6405.6162,4687.4777,,,4167.7562,,,,2610.7201,,
2093,,,,,,,,,,,1266.8734,1146.0401,,,,1113.076,
2094,,,,,,,,231.3435,,,,309.5329,,,235.2303,,
2100,,,,,,965.3079,,1086.9206,,600.881,919.6733,,,,,,185.3356
2101,,,,,,868.7166,995.8231,951.1317,440.0425,,,,,,,490.4622,
2102,,,,,,,,,360.2525,,,,,412.2846,,,
2103,,,,,,,949.4204,1217.4412,609.9426,846.3289,1162.4515,962.4935,208.5832,1119.7865,,1337.7044,306.1284
2105,787.9486,,,,,,,,,,,,,,,,
2107,,,,,,521.9404,486.3257,708.5075,,,,,,446.5457,,721.7748,
2108,,,,,,456.4306,645.9608,588.9623,,,315.057,269.4653,,487.2761,450.6756,,
2109,,,,,,437.2346,657.9045,660.8258,,286.3804,555.6938,,,458.2936,363.2119,508.8116,
2110,,,,,,238.9957,303.5793,,,,,,,261.8668,,,
2112,,114.7002,,,,,,,,,,,,,,,
2113,,,,,,320.3904,362.7844,348.2454,,,470.9778,405.6849,,363.8588,,361.8465,
2114,279.4968,,,,,,,,,,,,,,,,
2115,,,,,,,,,,,,,,,,540.6702,
2119,63586.836,5425.4907,,18486.5868,29848.562,,,,,,,,,,,,
2120,2102.2563,240.2434,,586.1318,1136.3643,,,,,,,,,,,,
2123,,,,,,,,,,,450.1928,382.1296,,,,,
2124,,,,,,,129.0141,,,,,,,,,,
2125,,,,,,,226.6858,,,496.1628,,775.3846,,482.2768,,,
2127,,,,,,,,248.9473,,,,,,,,,
2128,1348.4531,,,,892.5412,,,,,,,,,,,,
2132,,,,,,,,,,,324.5683,,,,,,231.7886
2133,,,,,,,,,,,,,,,,500.6843,
2136,109778.16,13362.116,1511.1017,37361.3125,63753.234,217.7421,477.7566,248.3089,,,539.498,,,,118.7675,,
2139,593.3318,,,,,,,,,,,,,,,,
2140,,,,,,,,,,,,,,,,,
2143,,1171.7799,,,,,,,,,,,,,,,
2144,,,,,,,,167.4633,,,,,,,,192.2583,
2145,,,270.2156,,,,,,,,,,,,,,
2146,,,,,,63.4391,,,,,,,,,,80.1907,
2147,,,,,,4765.9938,4605.322,7997.5765,,1904.101,2639.7915,3669.6226,,1267.9047,946.7653,3100.5184,
2148,,,179.065,,,,,,,,,,,,,,
2149,,,,,224.1036,,,,,,,,,,,,
2153,19061.469,2184.2012,194.7305,6394.4032,10719.1875,,68.8449,,,,83.2662,,,,,,
2155,188700.58,20014.139,2543.5059,55742.4798,102843.43,4133.9454,6785.7194,4426.66,,2693.9435,6314.252,3601.676,,,,2909.2891,
2157,1432.9258,164.343,,435.4334,821.3653,,,,,,,,,,,,
2158,,,,,,,,,,,,,,,,,328.6701
2161,,,,,,,,,,161.4184,294.4769,,,,,,
2164,,,,,,,149.5305,,,,,,,,,,
2165,,,,,,528.0539,,597.0898,225.8593,,,,,819.5061,,633.0966,
2166,,,,,,,1078.3897,837.0387,,,,,,,798.7945,1168.4752,
2167,,,,,,,,360.1772,,,,,,,,,
2173,,,,,,498.9073,,362.7456,857.6324,,,,210.8216,,,,
2174,2136.1204,,,710.2358,1197.778,,,,,,,,,,,,
2175,,,,,,,215.1432,,,,,,,,,,
2176,,,,,,,,,,,,,,,,,
2177,,,,,,,127.7592,,,,,,,,,,
2178,,,,,,,,,,,,,,,,443.6141,
2180,3966.017,470.3023,,1367.3682,2388.478,,,,,,,,,,,,
2184,,,,,,,,,,,301.24,287.4477,158.3037,,,,56.7026
2185,,,,,,,,,,,,,,,1222.8731,1553.6402,
2188,332.0741,,,,,,,,,,,,,,,,
2189,,,,,,,,,,,,,,,,,
2192,,,,,,,,,,,,,,,,,
2193,,,,,,,,,,,,,,,,439.2929,
2194,,,,,,,,,,,,,,459.2776,,,
2195,,,,,,,,318.5882,,,251.1125,,,,,,
2198,,,,,,,628.5549,823.9372,278.0509,189.8369,,,,,,,
2199,,,,,,286.0857,448.682,,,,,,,,,391.2904,
