Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_
240,,,,,,723.6186,671.3891,916.9626,427.6814,257.4986,402.7614,299.6548,,715.5947,799.2186,881.8927,
243,,,,,,,,,,,381.116,,,,,,
244,,,,,,12804.9177,4942.5441,6906.618,,525.403,619.4995,497.783,,,,1931.1346,
245,,,,,,537.8458,549.6129,653.4435,,,1334.3096,1048.588,,876.6217,834.6959,1225.7682,
247,26265.582,3188.9888,410.3529,9188.1196,14510.205,,,,,,,,,,,,
249,316.4931,,,93.3168,133.0694,,,,,,,,,,,,
250,,,,,,,,,,,,362.1504,,,,,
252,,,,,116.9946,,,,,,,,,,,,
253,,,,,,,193.7963,280.6855,,,,151.8968,,,,,
254,,,,,,,,411.4508,,,,,,,,,
255,,,,,,,,,,,,,,,,,
256,,,,,,,227.9673,,,,,195.4006,,235.7325,,226.5357,
257,2953.6345,,,,1534.5404,,,,,,,,,,,,
260,,,,,,,219.1558,,,,,,,,,,
262,,,,,,,,,,,,384.758,,,,,
265,,,,,,135.898,,124.331,,,,,,139.1793,,,
266,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,421.8355,397.9067,,,,,
270,,,,,,,177.2455,,,,,,,,,,
271,,,,,,,238.6377,239.3177,150.1023,332.6521,363.1342,354.1517,,252.5425,207.855,259.6549,69.7924
272,,,,,,,130.197,,,,,,,,138.1155,138.462,
273,,,,,,144.0252,,,,,,,,,,,
274,,,,,,195.1738,227.6944,264.1844,,,,,,282.1451,289.5483,435.9688,
275,,,,,,,,,,,,,,,,,
276,,,,,,,,658.5769,,,,,,,,,
277,,,,,,,,,,,,,275.5246,,,,
279,,,,,,108.534,,,,106.2597,184.6322,,,,,,
280,,,,,,,,,,,243.7341,,,,,,
281,,,,,,,,,,,141.6482,,,,,,
283,,,,,,,,,,,,,,,,,
284,,,,,,,323.4581,,113.7887,,210.5468,,,,,,
285,,,,,,,,193.3344,,,,,,,,,
287,,1071.6703,1436.4969,,,,,,,,,,,,,,
288,,,,,,1923.5042,2123.392,2152.1028,,1879.7141,2763.7079,2470.451,593.9282,2221.2822,2026.2323,2354.1181,508.6146
289,,,,,,,,,,,,,,167.0635,,,
290,,,,,,,632.1672,,,,,,,,,,
293,,,,,,357.0741,364.8598,393.269,,,496.1006,452.6143,,386.0806,,400.201,86.3616
294,,,,,,,,,,,179.6142,,,,,,
295,144.5827,117.2447,,,111.1908,,,,,,,,,,,,
297,723.8172,,,,,,,,,,,,,,,,
298,,,,,,233.5277,288.0644,,,,196.636,,,162.0129,,239.4452,
299,,,,,,283.2827,350.9742,242.6075,,,,,,,,,
302,,,,,,,,,,641.7082,826.9179,759.3301,,,,738.6351,
303,,,,,,,,,,,423.6709,,,,,,
304,948.7638,,,,557.3951,,,,,,,,,,,,
313,,,,,,512.2702,590.1396,947.6192,,481.37,754.6596,565.8326,,870.7355,698.0726,1406.9819,
315,,,,,,,,,,,,,,,,,
317,,,,,,244.1736,,,,,,,,,,155.7377,
318,,,,,,1060.3095,,,,,1429.6107,,,,,,
322,,,,,,,,,,,400.1301,1051.0058,,758.7638,,302.5827,
329,615.7535,,,136.3985,,,,,,,,,,,,,
331,302.0016,,,,180.301,,,,,,,,,,,,
332,2121.6733,,,570.8151,1336.3491,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,212.6424,,,,,,
335,,,,,,221.834,,,,,,,,,,,
336,,,,,,,,149.8117,,,,,,,,,
339,,,,,,,,,,,179.6314,,,,,,
341,14600.8296,,,5071.6703,7902.5026,,,,,,,,,,,,
342,338.729,,,,174.5011,,,,,,,,,,,,
343,,,,,,2172.3686,2274.742,3498.6927,,563.0871,936.4891,682.9449,,7158.9272,6132.975,7509.9868,
344,,,,,,,198.4064,,,,,,,,184.1567,,
345,188.695,1231.936,1649.408,,683.9438,,,,,,,,,,,,
348,,,,,,,,,,3342.6245,3559.983,,30304.9619,2773.1745,,7649.2438,3385.4667
349,,,,,,404.5193,385.1372,333.8088,220.3964,376.7715,601.0156,441.5579,177.2909,,426.9653,512.5139,190.7156
351,,,,,,,482.5953,,,,,,,,,,
354,,,,,,309.177,288.331,286.543,,,163.0232,,,,,,
355,,,,,,,,217.3323,,,,,,,,,
356,,,,,,,,,,,,,,,196.4657,,
357,,,,,,674.5323,819.2338,571.9758,,,,,,,,,
358,,,112.7831,,,,,,,,,,,,,,
359,,,,,,,198.1417,154.3032,,,,,,,129.2948,206.8584,
360,,,,,,247.3858,,,,,235.3008,132.8397,,420.5399,354.48,573.6109,
363,,,,,,,,,,258.2286,276.2543,,2983.3724,203.9461,235.2609,678.5122,261.0414
365,,,,,,,1038.9831,,,,,,,,,,
366,,,,,,12525.618,,2663.6191,,,,,,,,,
368,,,,,,,,,439.3762,,,,537.5715,,,,390.0681
369,,,,,,,56.6253,,,,,,,,,,
371,143.1518,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,226.5774,
373,103013.91,12409.169,1429.3871,34384.93,58331.496,,,,,,,,,,,,
378,,,,,,472.461,,,,281.1901,423.9385,,,,818.2712,,
379,,,1230.0771,,,29383.724,31878.486,32379.4403,15189.5853,28400.7036,39051.4286,35415.9613,10126.0773,32244.9916,30889.9666,34274.755,8789.3206
380,156.7325,,,,,,,,,,,,,,,,
381,201.7685,,,,,,,,,,,,,,,,
382,,,,,,,,139.5126,,,,,,,,,
383,,,,,,,,,,,,,,,186.7366,253.8212,
385,,,,,,,175.2863,,,,,,,,,,
386,,,,,,,,,,,291.6649,,,,,,
392,,,120.0762,,,,,,,,,,,,,,
393,,,,,,,,217.8734,,,184.3894,182.2288,,,,,
394,,,,,,,312.8756,313.4422,,,343.6304,254.9298,,,,,
395,,,,,,,300.9654,,283.8183,,,,,,,,
399,,,249.026,,,5905.3398,6380.0798,6399.442,2995.5761,5639.5614,7783.2153,7051.113,1979.3989,6361.7881,6101.8731,6768.1757,1743.2971
400,,,,,,406.9974,1091.7541,1024.0423,,396.5576,,956.7249,,781.4167,,461.4336,
401,21245.63,2780.8271,335.4543,6788.1518,11515.586,,,,,,,,,,,,
402,,,,,,180.4892,183.6852,151.7596,,,290.8026,,,192.8062,186.731,204.9999,
407,,,,,,,,,,,791.1144,,,,,,
409,,,172.6553,,,4815.6724,5220.1462,5257.5802,2421.041,4588.6693,6494.0339,5884.7318,1550.3051,5235.4019,4978.4859,5539.5663,1392.8194
413,,,,,,273.5359,285.1788,,,184.0096,,,,299.1059,,,
414,,,,,,,258.642,339.3553,,,239.4483,156.378,,,,,
415,93.2997,,,,,222.0572,267.9327,315.7172,,186.5523,276.547,,,279.1768,206.2865,315.8818,
416,,,,,,,,119.3828,,,,,,,,,
418,,,,,,,,,,,,,,269.2389,,314.4025,
419,,,,,,,,,,,102.5752,,,,,111.3236,
420,,,,,,,147.0382,,,,,,,,,,
421,3283.0653,475.5834,,1054.1373,1971.1542,,,,,,,,,,,,
428,,,,,,10250.9457,10764.2417,13905.518,5595.8636,5745.4002,9168.3327,6819.161,,8598.0352,7863.7185,9886.8397,1391.6217
429,30277.441,3187.3174,,10538.2173,16812.377,,,,,,,,,,,,
430,,,,,,,,,474.7393,,,,,,,,113.8267
431,,,,,,,,5665.0695,337.7865,,,,,,,,
433,,,,,,,,,,,215.627,160.9599,,,,,
434,,,,,,,,,246.0275,,,,,,,,
437,,518.5326,663.0378,,296.1884,,,304.6278,,,291.8788,,,,,,
438,,,,,,,207.2791,,,204.1205,407.7779,304.4057,,,,308.939,
439,,,,,,,232.2608,299.1863,,,277.2945,189.3469,,172.6118,,158.6493,
440,,,,,,,,,,,124.2828,113.4088,130.9878,,,,
441,956.7317,296.0732,,,725.7918,,,,,,,,,,,,
442,143.2371,,,,,,,,,,,,,,,,
445,,,,,,105.0148,697.1792,,,,,,,,,,
447,,,,,,,148.3765,112.5958,,,,,,,,135.2711,
448,,,,,,189.6354,218.0086,220.9899,,181.0468,225.5148,150.0063,,,,,
449,,,,,,,210.2882,122.2202,,,,,,,,,
450,,,,,,,316.4508,,,,,,,,,104.924,
451,1873.7505,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,407.4267
453,3514.733,,,,1840.9913,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,
455,3840.2058,,,1224.866,1996.95,,,,,,,,,,,,
456,,,,,,,,,241.7728,,662.1396,,,,,,
457,,,,,,,,,,,207.7122,,,,,,
460,,,,,,,,,1035.6267,,,,,115.2281,,248.0449,
466,1158.322,,,,641.5462,,,,,,,,,,,,
469,,,,,,,,,,,201.8976,179.8697,,,,,
472,361.4027,164.7384,,,246.8862,,,,,,,,,,,,
473,,,,,,,,,,,652.4076,,,,,,
475,497.421,,,,,,,,,,,,,,,,
477,,,,,,,,,,,356.845,,,557.5356,501.8775,,
480,,,,,,556.2874,,,1327.6828,3053.4974,3207.5325,4216.4446,4279.4282,2698.554,1989.1949,2183.1896,1948.7697
481,,,,,,,,,,,,,,,770.1661,,
482,,,,,,,,,584.5146,,,,,,,,
484,,,,,,,,,,,2859.7103,,,,,,
487,,,1290.9827,,,,,,,,,,1482.595,,,,
488,21607.5791,1866.7879,,5490.9815,11284.3451,,,,,,,,,,,,
