Feature ID,BlankSub Mean 45_T,BlankSub Mean 46_T,BlankSub Mean 47_T,BlankSub Mean 48_T,BlankSub Mean 49_T,BlankSub Mean 50_T,BlankSub Mean 51_T,BlankSub Mean 52_T,BlankSub Mean 53_T,BlankSub Mean 54_T,BlankSub Mean 55_T,BlankSub Mean 56_T,BlankSub Mean 57_T,BlankSub Mean 58_T,BlankSub Mean 59_T,BlankSub Mean 60_T
397,52755.5,,29254.1667,10942.8333,19277.5,39201.1667,9495.5,19135.8333,,,,,,,11925.5,9319.1667
368,67549.6667,,77302.6667,,,,,64706,,,,,,,,
3355,,,129372.6667,53848.3333,272031.3333,298970,446818.6667,67739.5,24900,121781.6667,,,178913.5,78937.6667,67203.3333,106259
5270,40733,,,,41097.3333,33510,23955,26568.5,26170.3333,20911,18134,,,22910.5,17374.5,30439
1612,,,,213300,,,50550,,,192146.3333,,,,,,145419.5
2674,810992.3333,628461.6667,950014.6667,860126.3333,864350.6667,873968.3333,680291.6667,670929.6667,748999,,611760.6667,,788104,547148.6667,,
301,,,,,,,,,,,25665.5,,,,,
4293,53806,,38037,25841,93450.3333,73745,65374.3333,72409.6667,79626.3333,58162.6667,67085,65796.3333,61080.3333,47650,50406.6667,60496.6667
4258,38162.6667,,25996.5,25841,95352.3333,56449,68022,71015.6667,61333.6667,31052.3333,31774,34599,35533.3333,29688.6667,25163,35063
4613,,,37980,,69183,79304.6667,70874,67622,44847.6667,43878,50667.3333,56561.6667,46000.3333,45000.3333,42185,48529
1386,44600.5,,,64042.3333,42621,401758.6667,,262483.3333,,,258693.6667,22393.6667,,163021.6667,305200.6667,103255.6667
474,140416.8333,,28139,12536.5,36897.8333,70988.5,17128.5,31292.8333,,,17918.5,36392.5,22649.1667,13740.5,30919.1667,
1704,187749.5,,89235,,172729,208543,74326.3333,166880.3333,195606,,,62772.6667,,,,
5798,,,,,45091.3333,,,,,,,,,,,
4726,,,,,,,,,,,45419.3333,25537,,32786,18795.6667,34203.5
1209,255673,204888.6667,159804.6667,195370,374893.6667,359632.6667,349839.6667,323743.3333,391906,281291,329779.3333,418167.6667,359265,414370.3333,294512.6667,324141.3333
4391,53098.6667,49085,33391.6667,41616.3333,77557.3333,79093.3333,72759,65751.6667,60397.3333,50187.6667,54675.3333,74059.3333,91435.5,68852,48149.3333,51756.6667
