Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_,BlankSub Mean Pooled_
5045,,147.6415,190.3355,134.9748,81.9391,848.1157,769.5277,751.9762,160.7664,605.1846,1181.999,963.7239,,558.2285,498.5785,528.3879,,575.5612
5046,6038.0604,1289.461,787.3755,2213.9714,3345.6425,1016.2836,922.4115,969.1063,640.8221,805.8796,1019.5312,882.236,,1152.2743,1060.2153,1140.0415,,8590.241
157,,,,,,,,140.4498,,,127.8151,,,118.3299,,,,
159,,,,,,,,199.3469,,,,,,,,,,
160,,,,,,128.3293,137.4293,154.8209,,,165.4235,,,281.5627,,521.7893,,108.588
161,,205.5403,211.0415,,,,,,,,,,,,,,,
162,,,74.5678,,,502.2473,540.6513,586.391,269.7985,481.2566,707.3723,629.3023,186.8328,571.7327,542.5977,596.8667,190.0796,403.8594
163,,,,,,,,,,,,,,,,,,278.8267
164,1372.8824,129.2128,,,860.9617,,,,,,,,,,,,,1606.9928
165,,,60.5613,,,500.3661,522.067,524.939,243.3117,450.8574,629.7352,585.7555,179.2192,524.6642,498.8274,561.9483,157.2957,389.7151
166,,,,,,,324.5768,319.9729,,,,,,,189.599,237.6696,,
167,,,,,,121.7863,137.3685,144.3656,,,,,,134.1106,,219.4294,,
168,,,,,,257.0275,459.742,341.7159,,,143.0652,,,99.086,,,,
169,,,1704.0984,,,30972.8134,32156.4117,33734.7117,33266.7664,31364.552,40917.8077,37597.867,12978.9307,33890.0124,31667.0757,36833.303,10940.503,26524.3969
170,,,,,,,59.7345,69.3303,,,,,,,,,,
174,,,,,,,247.0074,,166.6917,,,236.6089,,,,,,
175,,152.2457,135.2876,,,,,,,,,,,,,,,
176,,,,,,,,,,,144.3699,,,,,,,
177,,,,,,,,,,,91.4244,,,,,,,
180,,,,,,396.0496,,446.3423,474.9076,409.6096,530.1645,440.5578,,459.4178,409.3206,521.1482,193.1909,
181,,,,,,2088.4166,2310.1051,2348.9845,,2027.4667,2940.5963,2629.1429,646.818,2395.6748,2207.946,2514.1658,563.6102,1717.2558
183,,120.3623,133.946,161.5767,163.3426,,,,,198.6265,183.3057,173.4673,149.6851,,204.7053,,108.0711,
184,,,,,,,,132.3991,,43.1908,,,,,,,,
185,,,181.9769,,,252.8816,,,,249.8749,,246.114,313.175,249.9708,,,328.6903,266.7562
186,,,,,,399.3256,363.8138,385.738,169.9412,340.9744,503.2629,481.1167,93.287,,399.1784,468.8728,,
187,496.1287,,,537.0009,593.1978,238.1954,,,,477.9624,971.1018,,838.6605,235.4105,250.2137,,,647.4045
188,,,,,,130.187,128.6186,141.1435,178.3855,295.5987,458.0019,349.1586,,196.2242,,,,117.1943
189,13379.1807,1135.952,,3270.7525,6990.2887,,,,,,,,,,,,,11596.0131
5048,,,,,,,,,,,,,,,,,,824.9667
